Mass,Radius,Lambda,Label,Curve_ID
1.3507947671821847,11.232893825210445,70.2564328806346,1,Q_45_2
1.4307094711900104,11.400973710161514,55.49400793233955,1,Q_45_2
1.5092291183612705,11.551995171538103,44.214258393658696,1,Q_45_2
1.5859008143268511,11.687541096632366,35.53893654095332,1,Q_45_2
1.6600531386710369,11.806371810859078,28.821716513445107,1,Q_45_2
1.731121949161733,11.908103553535087,23.584797099154713,1,Q_45_2
1.798583179855749,11.992788067824826,19.475122852373712,1,Q_45_2
1.8619998082836762,12.060511104371413,16.228000122568993,1,Q_45_2
1.9209924167670465,12.111988042345107,13.645649664720338,1,Q_45_2
1.9752430338592348,12.146926799441783,11.577837656013571,1,Q_45_2
2.0245272861951125,12.166006835641259,9.911601151246456,1,Q_45_2
2.06868651017461,12.170104836473723,8.560673433443245,1,Q_45_2
2.107640129600096,12.159757479747269,7.458619603589248,1,Q_45_2
2.1413557530217124,12.136046001193167,6.554643487739418,1,Q_45_2
2.169895117974013,12.099318268088641,5.808669336710173,1,Q_45_2
2.1933323679501258,12.050609622175442,5.190058180113183,1,Q_45_2
2.2118395978849943,11.991276853966438,4.6748982831471695,1,Q_45_2
2.2255983394991894,11.92210961277019,4.2439803108685235,1,Q_45_2
2.234823444796987,11.84396227955937,3.8822094037614914,1,Q_45_2
2.239769772657655,11.75777187847763,3.5775473552237305,1,Q_45_2
1.1902781787819563,15.562095567804176,1363.4292884867757,0,H_46_12
1.2986912916054296,15.380697367904839,807.8492907525826,0,H_46_12
1.4080930420231406,15.202126935346538,485.03220771391767,0,H_46_12
1.5169563282479432,15.020885501627635,295.5695938588307,0,H_46_12
1.6236674173345749,14.83979133230759,182.95924149521528,0,H_46_12
1.726594569079173,14.64838923986014,115.22556862648725,0,H_46_12
1.8241568283958352,14.44747263674733,73.91355230400036,0,H_46_12
1.9148769696563759,14.235321043713112,48.36464759653158,0,H_46_12
1.9974529665720793,14.011340292056333,32.31457674357612,0,H_46_12
2.0708067750851114,13.775392847797017,22.076049833353885,0,H_46_12
2.134127009938929,13.529326826031308,15.436241603603738,0,H_46_12
2.1868772986494993,13.27222202896148,11.056120993026473,0,H_46_12
2.2288119881918598,13.00651650679507,8.116828820986706,0,H_46_12
2.2599678144609188,12.73331216056666,6.109581587349088,0,H_46_12
2.2806278745276183,12.456679691633756,4.716594575618511,0,H_46_12
2.2912978427855792,12.177718126697895,3.734005546454882,0,H_46_12
1.1949816141240501,13.731225373729725,690.7589669471917,0,H_46_19
1.3102720521595708,13.630599812298819,400.2237310097882,0,H_46_19
1.4266930373576303,13.529697336532271,235.41921062802768,0,H_46_19
1.5424207026468344,13.426392316298044,140.84965709327867,0,H_46_19
1.655542481846302,13.313624106524825,85.85291106763485,0,H_46_19
1.7641458329647464,13.189879808823317,53.409629282796985,0,H_46_19
1.8664063998603324,13.05284420447713,33.96577655490728,0,H_46_19
1.9606821801411007,12.90164004336417,22.11992334620965,0,H_46_19
2.04557310237244,12.736161267621377,14.774176557039427,0,H_46_19
2.119983863828138,12.556961130222017,10.132053545153381,0,H_46_19
2.18315951229208,12.364692471030121,7.142510660457107,0,H_46_19
2.234676880071501,12.161713948403744,5.179720638011,0,H_46_19
2.2744528606148378,11.948056306363778,3.8648099817335866,0,H_46_19
2.3026911834204107,11.728011829621867,2.9684184324642913,0,H_46_19
2.31985284859375,11.501994704668837,2.345904460340833,0,H_46_19
1.178083912908766,14.678462559983936,1055.6844722908363,0,H_46_25
1.2826682290992133,14.50909083537444,627.9474305450346,0,H_46_25
1.3872663146737987,14.344302051329064,379.30155665341,0,H_46_25
1.4902416410836348,14.176072721052533,232.9148839018194,0,H_46_25
1.5899171981590892,14.000804208388255,145.60856420361793,0,H_46_25
1.684645241725475,13.818378974467556,92.82466668627006,0,H_46_25
1.7728888928286235,13.62240075857023,60.40557782950381,0,H_46_25
1.853276629853665,13.414368513617312,40.18588711193441,0,H_46_25
1.924671013375675,13.193211252003014,27.356137449763423,0,H_46_25
1.9862083842041547,12.961045722151814,19.07833725879083,0,H_46_25
2.0373245022880293,12.718325747948782,13.641883791389116,0,H_46_25
2.077750189705791,12.464703033325794,10.004257499722629,0,H_46_25
2.1075164696527615,12.204271058346045,7.527560989962252,0,H_46_25
2.1269065572056767,11.937541267800261,5.811758356101083,0,H_46_25
2.136432508516763,11.667374265846432,4.602494212869012,0,H_46_25
1.1916897860214706,13.949256226375606,764.2512651595525,0,H_46_27
1.2992871417757015,13.807414447759246,448.9914264896616,0,H_46_27
1.4073513043840185,13.66685794908697,267.7288661920494,0,H_46_27
1.5141651489454515,13.520733006227983,162.26296730790995,0,H_46_27
1.6179400515996303,13.371182190318999,100.1616254330733,0,H_46_27
1.7168910031006401,13.212061552280387,63.084009474891396,0,H_46_27
1.8093315758437285,13.042529283981292,40.60694246856964,0,H_46_27
1.893740251977453,12.860700374611342,26.7608449367019,0,H_46_27
1.9688418748736354,12.666281480995943,18.08176991645457,0,H_46_27
2.0336578892173116,12.460245024540693,12.542696195931086,0,H_46_27
2.0875412273264407,12.243267969282812,8.940173552950158,0,H_46_27
2.1301754047429813,12.016734540531854,6.552498391150306,0,H_46_27
2.1615796021952787,11.782942334449166,4.940183074011421,0,H_46_27
2.1820567202462566,11.541628603518726,3.829779675302689,0,H_46_27
2.1921668943144264,11.297766992515896,3.0533510018636814,0,H_46_27
